product_id,name,category,subcategory,brand,description,price_npr,avg_rating,rating_count,tags,is_new_arrival,in_stock
P0001,Himalaya Bags 1,Fashion & Accessories,Bags,Himalaya,Bags made for Nepali shoppers with reliable quality and local style.,899,4.6,324,"fashion & accessories, bags, nepal, himalaya, gift",True,True
P0002,Kathmandu Craft Jewellery 2,Fashion & Accessories,Jewellery,Kathmandu Craft,Jewellery made for Nepali shoppers with reliable quality and local style.,6500,4.0,335,"fashion & accessories, jewellery, nepal, kathmandu craft, gift",False,True
P0003,Janakpur Mart Woodcraft 3,Handicrafts & Art,Woodcraft,Janakpur Mart,Woodcraft made for Nepali shoppers with reliable quality and local style.,350,4.2,339,"handicrafts & art, woodcraft, nepal, janakpur mart, gift",True,True
P0004,NepTech Daura Suruwal 4,Traditional Attire,Daura Suruwal,NepTech,Daura Suruwal made for Nepali shoppers with reliable quality and local style.,550,4.5,162,"traditional attire, daura suruwal, nepal, neptech, gift",False,True
P0005,Himalaya Cookware 5,Kitchen & Home,Cookware,Himalaya,Cookware made for Nepali shoppers with reliable quality and local style.,350,4.3,267,"kitchen & home, cookware, nepal, himalaya, gift",False,True
P0006,Kathmandu Craft Saree 6,Traditional Attire,Saree,Kathmandu Craft,Saree made for Nepali shoppers with reliable quality and local style.,350,4.3,167,"traditional attire, saree, nepal, kathmandu craft, gift",False,True
P0007,NepTech Rice 7,Daily Groceries,Rice,NepTech,Rice made for Nepali shoppers with reliable quality and local style.,550,4.1,214,"daily groceries, rice, nepal, neptech, gift",False,False
P0008,Kathmandu Craft Lokta Paper 8,Handicrafts & Art,Lokta Paper,Kathmandu Craft,Lokta Paper made for Nepali shoppers with reliable quality and local style.,6500,3.8,92,"handicrafts & art, lokta paper, nepal, kathmandu craft, gift",False,True
P0009,Himalaya Bedding 9,Kitchen & Home,Bedding,Himalaya,Bedding made for Nepali shoppers with reliable quality and local style.,14500,3.3,390,"kitchen & home, bedding, nepal, himalaya, gift",False,True
P0010,Janakpur Mart Children Books 10,Books & Education,Children Books,Janakpur Mart,Children Books made for Nepali shoppers with reliable quality and local style.,1800,3.5,113,"books & education, children books, nepal, janakpur mart, gift",True,True
P0011,Sagarmatha Bedding 11,Kitchen & Home,Bedding,Sagarmatha,Bedding made for Nepali shoppers with reliable quality and local style.,6500,4.4,248,"kitchen & home, bedding, nepal, sagarmatha, gift",False,True
P0012,Sagarmatha Woodcraft 12,Handicrafts & Art,Woodcraft,Sagarmatha,Woodcraft made for Nepali shoppers with reliable quality and local style.,1800,4.3,407,"handicrafts & art, woodcraft, nepal, sagarmatha, gift",True,True
P0013,Lalitpur Looms Daura Suruwal 13,Traditional Attire,Daura Suruwal,Lalitpur Looms,Daura Suruwal made for Nepali shoppers with reliable quality and local style.,350,3.7,95,"traditional attire, daura suruwal, nepal, lalitpur looms, gift",False,True
P0014,Sagarmatha Kurta 14,Traditional Attire,Kurta,Sagarmatha,Kurta made for Nepali shoppers with reliable quality and local style.,1800,4.2,267,"traditional attire, kurta, nepal, sagarmatha, gift",False,True
P0015,Himalaya Spices 15,Daily Groceries,Spices,Himalaya,Spices made for Nepali shoppers with reliable quality and local style.,4200,3.8,272,"daily groceries, spices, nepal, himalaya, gift",False,True
P0016,NepTech Sunglasses 16,Fashion & Accessories,Sunglasses,NepTech,Sunglasses made for Nepali shoppers with reliable quality and local style.,1250,4.1,367,"fashion & accessories, sunglasses, nepal, neptech, gift",False,True
P0017,Himalaya Dhaka Topi 17,Traditional Attire,Dhaka Topi,Himalaya,Dhaka Topi made for Nepali shoppers with reliable quality and local style.,899,4.2,383,"traditional attire, dhaka topi, nepal, himalaya, gift",False,True
P0018,Janakpur Mart Spices 18,Daily Groceries,Spices,Janakpur Mart,Spices made for Nepali shoppers with reliable quality and local style.,14500,3.9,366,"daily groceries, spices, nepal, janakpur mart, gift",False,True
P0019,NepTech Spices 19,Daily Groceries,Spices,NepTech,Spices made for Nepali shoppers with reliable quality and local style.,1800,3.4,378,"daily groceries, spices, nepal, neptech, gift",True,True
P0020,Himalaya Thangka 20,Handicrafts & Art,Thangka,Himalaya,Thangka made for Nepali shoppers with reliable quality and local style.,1800,3.3,150,"handicrafts & art, thangka, nepal, himalaya, gift",False,True
P0021,Sagarmatha Shoes 21,Fashion & Accessories,Shoes,Sagarmatha,Shoes made for Nepali shoppers with reliable quality and local style.,4200,4.0,397,"fashion & accessories, shoes, nepal, sagarmatha, gift",False,True
P0022,Himalaya Saree 22,Traditional Attire,Saree,Himalaya,Saree made for Nepali shoppers with reliable quality and local style.,1800,3.5,162,"traditional attire, saree, nepal, himalaya, gift",False,True
P0023,Lalitpur Looms Bedding 23,Kitchen & Home,Bedding,Lalitpur Looms,Bedding made for Nepali shoppers with reliable quality and local style.,550,4.0,229,"kitchen & home, bedding, nepal, lalitpur looms, gift",True,True
P0024,Kathmandu Craft Jewellery 24,Fashion & Accessories,Jewellery,Kathmandu Craft,Jewellery made for Nepali shoppers with reliable quality and local style.,6500,4.0,169,"fashion & accessories, jewellery, nepal, kathmandu craft, gift",False,True
P0025,Kathmandu Craft Accessories 25,Electronics,Accessories,Kathmandu Craft,Accessories made for Nepali shoppers with reliable quality and local style.,14500,4.0,338,"electronics, accessories, nepal, kathmandu craft, gift",False,True
P0026,Janakpur Mart Jewellery 26,Fashion & Accessories,Jewellery,Janakpur Mart,Jewellery made for Nepali shoppers with reliable quality and local style.,350,3.4,341,"fashion & accessories, jewellery, nepal, janakpur mart, gift",False,True
P0027,NepTech Bags 27,Fashion & Accessories,Bags,NepTech,Bags made for Nepali shoppers with reliable quality and local style.,4200,3.6,363,"fashion & accessories, bags, nepal, neptech, gift",False,True
