product_id,name,category,subcategory,brand,description,price_npr,avg_rating,rating_count,tags,image_url,is_new_arrival,in_stock,is_cold_item
P0001,Himalaya Bags 1,Fashion & Accessories,Bags,Himalaya,Bags made for Nepali shoppers with reliable quality and local style.,2500,3.5,128,"fashion & accessories, bags, nepal, himalaya, gift","data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A//www.w3.org/2000/svg%22%20width%3D%22400%22%20height%3D%22400%22%3E%3Crect%20width%3D%22400%22%20height%3D%22400%22%20fill%3D%22%237E301A%22/%3E%3Ctext%20x%3D%22200%22%20y%3D%22190%22%20font-family%3D%22Georgia%2Cserif%22%20font-size%3D%2228%22%20fill%3D%22%23F8F3E9%22%20text-anchor%3D%22middle%22%3EBags%3C/text%3E%3Ctext%20x%3D%22200%22%20y%3D%22224%22%20font-family%3D%22Georgia%2Cserif%22%20font-size%3D%2214%22%20fill%3D%22%23F8F3E9%22%20text-anchor%3D%22middle%22%20opacity%3D%220.75%22%3EFashion%20%26%20Accessories%3C/text%3E%3C/svg%3E",False,True,False
P0002,Kathmandu Craft Jewellery 2,Fashion & Accessories,Jewellery,Kathmandu Craft,Jewellery made for Nepali shoppers with reliable quality and local style.,4200,4.6,20,"fashion & accessories, jewellery, nepal, kathmandu craft, gift","data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A//www.w3.org/2000/svg%22%20width%3D%22400%22%20height%3D%22400%22%3E%3Crect%20width%3D%22400%22%20height%3D%22400%22%20fill%3D%22%237E301A%22/%3E%3Ctext%20x%3D%22200%22%20y%3D%22190%22%20font-family%3D%22Georgia%2Cserif%22%20font-size%3D%2228%22%20fill%3D%22%23F8F3E9%22%20text-anchor%3D%22middle%22%3EJewellery%3C/text%3E%3Ctext%20x%3D%22200%22%20y%3D%22224%22%20font-family%3D%22Georgia%2Cserif%22%20font-size%3D%2214%22%20fill%3D%22%23F8F3E9%22%20text-anchor%3D%22middle%22%20opacity%3D%220.75%22%3EFashion%20%26%20Accessories%3C/text%3E%3C/svg%3E",False,True,False
P0003,Janakpur Mart Woodcraft 3,Handicrafts & Art,Woodcraft,Janakpur Mart,Woodcraft made for Nepali shoppers with reliable quality and local style.,550,3.3,282,"handicrafts & art, woodcraft, nepal, janakpur mart, gift","data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A//www.w3.org/2000/svg%22%20width%3D%22400%22%20height%3D%22400%22%3E%3Crect%20width%3D%22400%22%20height%3D%22400%22%20fill%3D%22%238B3E1E%22/%3E%3Ctext%20x%3D%22200%22%20y%3D%22190%22%20font-family%3D%22Georgia%2Cserif%22%20font-size%3D%2228%22%20fill%3D%22%23F8F3E9%22%20text-anchor%3D%22middle%22%3EWoodcraft%3C/text%3E%3Ctext%20x%3D%22200%22%20y%3D%22224%22%20font-family%3D%22Georgia%2Cserif%22%20font-size%3D%2214%22%20fill%3D%22%23F8F3E9%22%20text-anchor%3D%22middle%22%20opacity%3D%220.75%22%3EHandicrafts%20%26%20Art%3C/text%3E%3C/svg%3E",False,True,False
P0004,NepTech Daura Suruwal 4,Traditional Attire,Daura Suruwal,NepTech,Daura Suruwal made for Nepali shoppers with reliable quality and local style.,899,3.9,352,"traditional attire, daura suruwal, nepal, neptech, gift","data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A//www.w3.org/2000/svg%22%20width%3D%22400%22%20height%3D%22400%22%3E%3Crect%20width%3D%22400%22%20height%3D%22400%22%20fill%3D%22%236B3119%22/%3E%3Ctext%20x%3D%22200%22%20y%3D%22190%22%20font-family%3D%22Georgia%2Cserif%22%20font-size%3D%2228%22%20fill%3D%22%23F8F3E9%22%20text-anchor%3D%22middle%22%3EDaura%20Suruwal%3C/text%3E%3Ctext%20x%3D%22200%22%20y%3D%22224%22%20font-family%3D%22Georgia%2Cserif%22%20font-size%3D%2214%22%20fill%3D%22%23F8F3E9%22%20text-anchor%3D%22middle%22%20opacity%3D%220.75%22%3ETraditional%20Attire%3C/text%3E%3C/svg%3E",False,False,False
P0005,Himalaya Cookware 5,Kitchen & Home,Cookware,Himalaya,Cookware made for Nepali shoppers with reliable quality and local style.,1250,3.6,264,"kitchen & home, cookware, nepal, himalaya, gift","data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A//www.w3.org/2000/svg%22%20width%3D%22400%22%20height%3D%22400%22%3E%3Crect%20width%3D%22400%22%20height%3D%22400%22%20fill%3D%22%23B5750F%22/%3E%3Ctext%20x%3D%22200%22%20y%3D%22190%22%20font-family%3D%22Georgia%2Cserif%22%20font-size%3D%2228%22%20fill%3D%22%23F8F3E9%22%20text-anchor%3D%22middle%22%3ECookware%3C/text%3E%3Ctext%20x%3D%22200%22%20y%3D%22224%22%20font-family%3D%22Georgia%2Cserif%22%20font-size%3D%2214%22%20fill%3D%22%23F8F3E9%22%20text-anchor%3D%22middle%22%20opacity%3D%220.75%22%3EKitchen%20%26%20Home%3C/text%3E%3C/svg%3E",False,True,False
P0006,Kathmandu Craft Saree 6,Traditional Attire,Saree,Kathmandu Craft,Saree made for Nepali shoppers with reliable quality and local style.,550,4.3,133,"traditional attire, saree, nepal, kathmandu craft, gift","data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A//www.w3.org/2000/svg%22%20width%3D%22400%22%20height%3D%22400%22%3E%3Crect%20width%3D%22400%22%20height%3D%22400%22%20fill%3D%22%236B3119%22/%3E%3Ctext%20x%3D%22200%22%20y%3D%22190%22%20font-family%3D%22Georgia%2Cserif%22%20font-size%3D%2228%22%20fill%3D%22%23F8F3E9%22%20text-anchor%3D%22middle%22%3ESaree%3C/text%3E%3Ctext%20x%3D%22200%22%20y%3D%22224%22%20font-family%3D%22Georgia%2Cserif%22%20font-size%3D%2214%22%20fill%3D%22%23F8F3E9%22%20text-anchor%3D%22middle%22%20opacity%3D%220.75%22%3ETraditional%20Attire%3C/text%3E%3C/svg%3E",False,True,False
P0007,NepTech Rice 7,Daily Groceries,Rice,NepTech,Rice made for Nepali shoppers with reliable quality and local style.,9800,4.7,363,"daily groceries, rice, nepal, neptech, gift","data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A//www.w3.org/2000/svg%22%20width%3D%22400%22%20height%3D%22400%22%3E%3Crect%20width%3D%22400%22%20height%3D%22400%22%20fill%3D%22%233F7D3A%22/%3E%3Ctext%20x%3D%22200%22%20y%3D%22190%22%20font-family%3D%22Georgia%2Cserif%22%20font-size%3D%2228%22%20fill%3D%22%23F8F3E9%22%20text-anchor%3D%22middle%22%3ERice%3C/text%3E%3Ctext%20x%3D%22200%22%20y%3D%22224%22%20font-family%3D%22Georgia%2Cserif%22%20font-size%3D%2214%22%20fill%3D%22%23F8F3E9%22%20text-anchor%3D%22middle%22%20opacity%3D%220.75%22%3EDaily%20Groceries%3C/text%3E%3C/svg%3E",False,True,False
P0008,Kathmandu Craft Lokta Paper 8,Handicrafts & Art,Lokta Paper,Kathmandu Craft,Lokta Paper made for Nepali shoppers with reliable quality and local style.,6500,3.9,225,"handicrafts & art, lokta paper, nepal, kathmandu craft, gift","data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A//www.w3.org/2000/svg%22%20width%3D%22400%22%20height%3D%22400%22%3E%3Crect%20width%3D%22400%22%20height%3D%22400%22%20fill%3D%22%238B3E1E%22/%3E%3Ctext%20x%3D%22200%22%20y%3D%22190%22%20font-family%3D%22Georgia%2Cserif%22%20font-size%3D%2228%22%20fill%3D%22%23F8F3E9%22%20text-anchor%3D%22middle%22%3ELokta%20Paper%3C/text%3E%3Ctext%20x%3D%22200%22%20y%3D%22224%22%20font-family%3D%22Georgia%2Cserif%22%20font-size%3D%2214%22%20fill%3D%22%23F8F3E9%22%20text-anchor%3D%22middle%22%20opacity%3D%220.75%22%3EHandicrafts%20%26%20Art%3C/text%3E%3C/svg%3E",False,True,False
P0009,Himalaya Bedding 9,Kitchen & Home,Bedding,Himalaya,Bedding made for Nepali shoppers with reliable quality and local style.,14500,3.7,217,"kitchen & home, bedding, nepal, himalaya, gift","data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A//www.w3.org/2000/svg%22%20width%3D%22400%22%20height%3D%22400%22%3E%3Crect%20width%3D%22400%22%20height%3D%22400%22%20fill%3D%22%23B5750F%22/%3E%3Ctext%20x%3D%22200%22%20y%3D%22190%22%20font-family%3D%22Georgia%2Cserif%22%20font-size%3D%2228%22%20fill%3D%22%23F8F3E9%22%20text-anchor%3D%22middle%22%3EBedding%3C/text%3E%3Ctext%20x%3D%22200%22%20y%3D%22224%22%20font-family%3D%22Georgia%2Cserif%22%20font-size%3D%2214%22%20fill%3D%22%23F8F3E9%22%20text-anchor%3D%22middle%22%20opacity%3D%220.75%22%3EKitchen%20%26%20Home%3C/text%3E%3C/svg%3E",False,True,False
P0010,Janakpur Mart Children Books 10,Books & Education,Children Books,Janakpur Mart,Children Books made for Nepali shoppers with reliable quality and local style.,1800,3.8,162,"books & education, children books, nepal, janakpur mart, gift","data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A//www.w3.org/2000/svg%22%20width%3D%22400%22%20height%3D%22400%22%3E%3Crect%20width%3D%22400%22%20height%3D%22400%22%20fill%3D%22%235A4E3A%22/%3E%3Ctext%20x%3D%22200%22%20y%3D%22190%22%20font-family%3D%22Georgia%2Cserif%22%20font-size%3D%2228%22%20fill%3D%22%23F8F3E9%22%20text-anchor%3D%22middle%22%3EChildren%20Books%3C/text%3E%3Ctext%20x%3D%22200%22%20y%3D%22224%22%20font-family%3D%22Georgia%2Cserif%22%20font-size%3D%2214%22%20fill%3D%22%23F8F3E9%22%20text-anchor%3D%22middle%22%20opacity%3D%220.75%22%3EBooks%20%26%20Education%3C/text%3E%3C/svg%3E",False,True,False
